"","Draw","To","Artist","Song","Language","Place","Points","Year","lyrics"
"1","1","Malta","Michela","""Chameleon""","English","16","95",2019," I'm bluer than the ocean I'm golden like the rising sun and I'm red with hot emotion And when they try to hold me down Inside a box, I'll find my way out I'm keeping it in motion When life brings me trouble This I know I never walk away, na na We are technicolour, watch us go We never walk away, na na Just stay with me now Chameleon Chameleon Chameleon The grass is always greener When you love me deeper, darling I can be your jungle So when they try to hold me down Inside a box, I'll find my way out I'm keeping it in motion When life brings me trouble This I know I never walk away, na na walk away, na na We are technicolour, watch us go We never walk away, na na Just stay with me now Chameleon Chameleon Chameleon Give me water, I'm a swimmer Give me fire, I'm a fighter Give me love, I'm your lover Make me cry, I'll be a river Take my heart, I'll be a giver I can change, like the weather When life brings me trouble This I know I never walk away, na na We are technicolour, watch us go We never walk away, na na I never walk away na na Give me water, I'm a swimmer Give me fire, I'm a fighter Give me love, I'm your lover When life brings me trouble This I know I never walk away, na na Chameleon "
"2","2","Albania","Jonida Maliqi","""Ktheju tokës""","Albanian","18","90",2019,"  Ti këndon edhe qan Në duar lotët mbledh I mban Një ditë jeton Në tjetrën vdes Sa mall, pak shpresë I vetëm, pa identitet Ktheju tokës tënde O njeri që zemrën le peng Ktheju tokës tënde Ti e di një zemër të pret Një ditë jeton Në tjetrën vdes Sa mall, pak shpresë I vetëm, pa identitet Ktheju tokës tënde O njeri që zemrën le peng Ktheju tokës tënde Ti e di një zemër të pret "
"3","3","Czech Republic","Lake Malawi","""Friend of a Friend""","English","11","157",2019,"  Can you hear it?  There's someone behind the wall making the same sounds Can you hear it?  It sounds like you and me when we're making love Who is it?  You said you wish they weren't taking such a long time  She was my neighbour when we were thirteen She moved back in There's not much between us now Do you know what I mean?   She's only a friend of a friend of a friend of a friend She's never home 'cause she plays in a band I don't know if you'd understand She's only a friend of a friend of a friend I had a dream that she walked through the door I can't recall her name anymore Please believe me, I'm your man She's only a friend of a friend of a friend  ( I'm only a friend )   Can you feel it?  There's someone sliding up and down the ceiling Breathing, he is synchronizing with her beating heart  ( With her beating heart )   She was my neighbour when we were thirteen She moved back in There's not much between us now Do you know what I mean?   She's only a friend of a friend of a friend of a friend She's never home 'cause she plays in a band I don't know if you'd understand She's only a friend of a friend of a friend I had a dream that she walked through the door I can't recall her name anymore Please believe me, I'm your man She's only a friend of a friend of a friend  ( I'm only a friend )   ( I'm only a friend )  She's only a friend of a friend of a friend of a friend She's never home 'cause she plays in a band I don't know if you'd understand She's only a friend of a friend of a friend I had a dream that she walked through the door I can't recall her name anymore Please believe me, I'm your man She's only a friend of a friend of a friend "
"4","4","Germany","S!sters","""Sister""","English","24","32",2019," I'm tired  Tired of always losing  I tried to stop your fire  Turns out that I couldn't I'm tired  Tired of competing  I tried to hold you under  But honey you kept breathing When you said you wanted the world  I said you couldn't too  You were walking right beside me  But I left no room for you Calling you my enemy but my enemy's right here  It was my mistake to try and break  your power that I feared I see flames in your eyes  Damn they burn so bright  Oh you gotta know I'm with ya Now shine like city lights  Torches in the sky  Don't you try to hide it  Sister I'm sorry Sorry for the drama  I tried to steal your thunder  Turns out that I don't wanna  When you said you wanted the world  I said you couldn't too  You were walking right beside me  But I left no room for you Calling you my enemy but my enemy's right here  It was my mistake to try and break  your power that I feared I see flames in your eyes  Damn they burn so bright  Don't you try to hide it  Sister, Sister, Sister  Don't you try to hide it  Sister, Sister, Sister  Don't you try to hide it I see flames in your eyes Damn they burn so bright Oh you gotta know I'm with ya  Now shine like city lights  Torches in the sky  Don't you try to hide it  Don't you try to hide it  Sister "
"5","5","Russia","Sergey Lazarev","""Scream""","English","3","369",2019," No I can't stay here longer You cannot make me cry So, I will leave you to wonder What will become of our lives I'll swallow hard Fall apart Break and bleed but You won't see Tears won't fall While pride stands tall Maybe they can't be heard or seen But tears aren't quiet things They scream They scream They scream Though my throat is on fire My eyes will be liars And they'll try to stay drier Until you turn away I'll swallow hard Fall apart Break and bleed but You won't see Tears will fall I hear them all They scream They scream Not so silent and innocent Acid rain from your finger prints Echoes rivers of loneliness Hitting the walls of my heart They scream Not so silent and innocent Acid rain from your finger prints They scream Echoes rivers of loneliness Hitting the walls of my heart "
"6","6","Denmark","Leonora","""Love Is Forever""","English, French[f]","12","120",2019," Travel the world to see The ruins of what has been Learning our history But still, we don't take it in Why we make it tough, the world has had enough Don't get too political And who are we to judge?  It doesn't take too much Only just a miracle Love is forever Love is forever and everyone Love is forever Love is forever and everyone Just a taste of love, a taste of what Could actually rule both me and you A taste of love is all we got So don't you never ever give up love Come over my long lost friend And work on a happy end Imagine what we could do After what we've been through Why we make it tough, the world has had enough Don't get too political And who are we to judge?  It doesn't take too much Only just a miracle Love is forever Love is forever and everyone Love is forever Love is forever and everyone Just a taste of love, a taste of what Could actually rule both me and you A taste of love is all we got So don't you never ever give up love Venez découvrir la vie Ce soir on va tous partir Le beau temps n'est pas fini Qu'en dîtes-vous mon ami Hvorfor ska' vi slås?  All we need is love Liebe ist für alle da Kærlighed er håb, alle ka' forstå Kærlighed er samme sprog L'amour est pour toujours L'amour est pour toujours et pour tout le monde L'amour est pour toujours L'amour est pour toujours et pour tout le monde Just a taste of love, a taste of what Could actually rule both me and you A taste of love is all we got So don't you never ever give up love "
"7","7","San Marino","Serhat","""Say Na Na Na""","English","20","81",2019," Na-na-na-na-na-na. . .  You look sad and lonely Is something wrong tonight?  Why this rush to run away?  Things will be alright Just be strong and look at me Hear me when I say Who cares that you're out of love?  It happens every day All your dreams will come your way No matter what you do Love all colors of this life And to yourself, be true Don't forget my number Call me anytime I will always tell you life is beautiful and fine Say na na na On a doctor's order, please say na na na There's a light for you that waits, it's na na na Say na na na, say na na na You're not alone, so stand up, na na na Be a hero, be the rainbow, and say na na na Say na na na Na-na-na-na-na-na. . .  All your dreams will come your way No matter what you do Love all colors of this life And to yourself, be true Don't forget my number Call me anytime I will always tell you life is beautiful and fine  ( Na na na )  Say na na na On a doctor's order, please say na na na There's a light for you that waits, it's na na na Say na na na, say na na na You're not alone, so stand up, na na na Be a hero, be the rainbow, and say na na na Say na na na If you're feeling lonely We can take it slowly Think I'm going crazy Yes, I'm going crazy We can all go crazy Bir, iki, üç Say na na na On a doctor's order, please say na na na There's a light for you that waits, it's na na na Say na na na, say na na na You're not alone, so stand up, na na na Be a hero, be the rainbow, and say na na na Say na na na "
"8","8","North Macedonia","Tamara Todevska","""Proud""","English","8","295",2019," Girl, they will try to tell you what to do How to look, smile, act and move All the rules I made for you to lose But baby let me tell you something Girl, for every tear the world makes you cry Hold on to me, I am always on your side Don't be afraid to spread your wings and fly Tell them Raise your voice and say it loudly Show them What it means to stand up proudly Tell them This is me and thanks to you I'm proud Go on now, tell them Raise your voice and say it loudly Show them What it means to stand up proudly Tell them This is me and thanks to you I'm proud, I'm proud, I'm proud Girl, they will try to tell you what to do Have no fear, the power lies in you Shine your light, go and break the rules Go on now, tell them Raise your voice and say it loudly Show them What it means to stand up proudly Tell them This is me and thanks to you I'm proud, I'm proud, I'm proud Go on now, tell them Raise your voice and say it loudly Show them What it means to stand up proudly Tell them This is me and thanks to you I'm proud Girl "
"9","9","Sweden","John Lundvik","""Too Late for Love""","English","6","332",2019," Hey, how you've been?  I wonder, do you ever think of me?  Say, am I wrong To wonder if it could be you and me?  Is it too late for love?  Mhm Is it too late for love?  I wanna know Is it too late for love?  I can't take no more Is it?  I could be the sun that lights your dark And maybe I would lit your world with just one spark I could make it burn for you and me If I could be there I would be there Hear me!  I could be the sun that lights your dark Oh, is it too late for love?  Mhm Is it too late for love?  Hear me!  I could make it burn for you and me Days came and went But nothing ever really felt the same But you left a space Where everything reminds me of your face Is it too late for love?  Mhm Is it too late for love?  I wanna know I could be the sun that lights your dark And maybe I would lit your world with just one spark I could make it burn for you and me If I could be there I would be there Hear me!  I could be the sun that lights your dark Oh, is it too late for love?  Oh no Is it too late for love?  Hear me!  I could make it burn for you and me Oh, is it too late for love?  No noo Is it too late for love?  We could be a storm that rages on And maybe we would own the ocean carry on Noo. . .  I could be the sun that lights your dark And maybe I would lit your world with just one spark I could make it burn for you and me If I could be there I would be there Hear me!  I could be the sun that lights your dark Oh, is it too late for love?  Is it too late for love?  Is it too late for love?  It isn't is too late for love?   Is it?  "
"10","10","Slovenia","Zala Kralj & Gašper Šantl","""Sebi""","Slovene","13","105",2019," Ko so tvoje misli polne lahko poslušaš, kako mi bije srce Ko težko je tvoje breme, k meni se lahko zatečeš Vprašaj, kaj me vodi dalje so dosežki in razdalje Kot list gre z vetrom in se mu upira jaz grem s tokom in se mu upiram Vedno se ne vidi zvezd sam ostani sebi zvest ne govori mi oprosti Vedno se ne vidi zvezd sam ostani sebi zvest ne govori mi oprosti Solze v tvojih so očeh pusti, da tečejo Ko najine želje so različne sprejmeš me in sprejmem te Poglej me, je nujno da ima vse pomen Večnost in ta planet nista prijatelja in jaz sem kot snežinka, ki čaka na pomlad Vedno se ne vidi zvezd sam ostani sebi zvest ne govori mi oprosti Vedno se ne vidi zvezd sam ostani sebi zvest ne govori mi oprosti Ni ti treba se dokazovat Vezejo nas iste solze, isti strah Vedno se ne vidi zvezd sam ostani sebi zvest ne govori mi oprosti Vedno se ne vidi zvezd sam ostani sebi zvest ne govori mi oprosti Vedno se ne vidi zvezd sam ostani sebi zvest ne govori mi oprosti Vedno se ne vidi zvezd sam ostani sebi zvest ne govori mi oprosti "
