"","X","Draw","To","Artist","Song","Language","Place","Points","Year","lyrics","corpus$sent"
"1",1,"1","Malta","Michela","""Chameleon""","English","16","95",2019," I'm bluer than the ocean I'm golden like the rising sun and I'm red with hot emotion And when they try to hold me down Inside a box, I'll find my way out I'm keeping it in motion When life brings me trouble This I know I never walk away, na na We are technicolour, watch us go We never walk away, na na Just stay with me now Chameleon Chameleon Chameleon The grass is always greener When you love me deeper, darling I can be your jungle So when they try to hold me down Inside a box, I'll find my way out I'm keeping it in motion When life brings me trouble This I know I never walk away, na na walk away, na na We are technicolour, watch us go We never walk away, na na Just stay with me now Chameleon Chameleon Chameleon Give me water, I'm a swimmer Give me fire, I'm a fighter Give me love, I'm your lover Make me cry, I'll be a river Take my heart, I'll be a giver I can change, like the weather When life brings me trouble This I know I never walk away, na na We are technicolour, watch us go We never walk away, na na I never walk away na na Give me water, I'm a swimmer Give me fire, I'm a fighter Give me love, I'm your lover When life brings me trouble This I know I never walk away, na na Chameleon ",0
"3",3,"3","Czech Republic","Lake Malawi","""Friend of a Friend""","English","11","157",2019,"  Can you hear it?  There's someone behind the wall making the same sounds Can you hear it?  It sounds like you and me when we're making love Who is it?  You said you wish they weren't taking such a long time  She was my neighbour when we were thirteen She moved back in There's not much between us now Do you know what I mean?   She's only a friend of a friend of a friend of a friend She's never home 'cause she plays in a band I don't know if you'd understand She's only a friend of a friend of a friend I had a dream that she walked through the door I can't recall her name anymore Please believe me, I'm your man She's only a friend of a friend of a friend  ( I'm only a friend )   Can you feel it?  There's someone sliding up and down the ceiling Breathing, he is synchronizing with her beating heart  ( With her beating heart )   She was my neighbour when we were thirteen She moved back in There's not much between us now Do you know what I mean?   She's only a friend of a friend of a friend of a friend She's never home 'cause she plays in a band I don't know if you'd understand She's only a friend of a friend of a friend I had a dream that she walked through the door I can't recall her name anymore Please believe me, I'm your man She's only a friend of a friend of a friend  ( I'm only a friend )   ( I'm only a friend )  She's only a friend of a friend of a friend of a friend She's never home 'cause she plays in a band I don't know if you'd understand She's only a friend of a friend of a friend I had a dream that she walked through the door I can't recall her name anymore Please believe me, I'm your man She's only a friend of a friend of a friend ",0.0280898876404494
"4",4,"4","Germany","S!sters","""Sister""","English","24","32",2019," I'm tired  Tired of always losing  I tried to stop your fire  Turns out that I couldn't I'm tired  Tired of competing  I tried to hold you under  But honey you kept breathing When you said you wanted the world  I said you couldn't too  You were walking right beside me  But I left no room for you Calling you my enemy but my enemy's right here  It was my mistake to try and break  your power that I feared I see flames in your eyes  Damn they burn so bright  Oh you gotta know I'm with ya Now shine like city lights  Torches in the sky  Don't you try to hide it  Sister I'm sorry Sorry for the drama  I tried to steal your thunder  Turns out that I don't wanna  When you said you wanted the world  I said you couldn't too  You were walking right beside me  But I left no room for you Calling you my enemy but my enemy's right here  It was my mistake to try and break  your power that I feared I see flames in your eyes  Damn they burn so bright  Don't you try to hide it  Sister, Sister, Sister  Don't you try to hide it  Sister, Sister, Sister  Don't you try to hide it I see flames in your eyes Damn they burn so bright Oh you gotta know I'm with ya  Now shine like city lights  Torches in the sky  Don't you try to hide it  Don't you try to hide it  Sister ",-0.143410852713178
"5",5,"5","Russia","Sergey Lazarev","""Scream""","English","3","369",2019," No I can't stay here longer You cannot make me cry So, I will leave you to wonder What will become of our lives I'll swallow hard Fall apart Break and bleed but You won't see Tears won't fall While pride stands tall Maybe they can't be heard or seen But tears aren't quiet things They scream They scream They scream Though my throat is on fire My eyes will be liars And they'll try to stay drier Until you turn away I'll swallow hard Fall apart Break and bleed but You won't see Tears will fall I hear them all They scream They scream Not so silent and innocent Acid rain from your finger prints Echoes rivers of loneliness Hitting the walls of my heart They scream Not so silent and innocent Acid rain from your finger prints They scream Echoes rivers of loneliness Hitting the walls of my heart ",-0.190789473684211
"7",7,"7","San Marino","Serhat","""Say Na Na Na""","English","20","81",2019," Na-na-na-na-na-na. . .  You look sad and lonely Is something wrong tonight?  Why this rush to run away?  Things will be alright Just be strong and look at me Hear me when I say Who cares that you're out of love?  It happens every day All your dreams will come your way No matter what you do Love all colors of this life And to yourself, be true Don't forget my number Call me anytime I will always tell you life is beautiful and fine Say na na na On a doctor's order, please say na na na There's a light for you that waits, it's na na na Say na na na, say na na na You're not alone, so stand up, na na na Be a hero, be the rainbow, and say na na na Say na na na Na-na-na-na-na-na. . .  All your dreams will come your way No matter what you do Love all colors of this life And to yourself, be true Don't forget my number Call me anytime I will always tell you life is beautiful and fine  ( Na na na )  Say na na na On a doctor's order, please say na na na There's a light for you that waits, it's na na na Say na na na, say na na na You're not alone, so stand up, na na na Be a hero, be the rainbow, and say na na na Say na na na If you're feeling lonely We can take it slowly Think I'm going crazy Yes, I'm going crazy We can all go crazy Bir, iki, üç Say na na na On a doctor's order, please say na na na There's a light for you that waits, it's na na na Say na na na, say na na na You're not alone, so stand up, na na na Be a hero, be the rainbow, and say na na na Say na na na ",0.0560224089635854
"8",8,"8","North Macedonia","Tamara Todevska","""Proud""","English","8","295",2019," Girl, they will try to tell you what to do How to look, smile, act and move All the rules I made for you to lose But baby let me tell you something Girl, for every tear the world makes you cry Hold on to me, I am always on your side Don't be afraid to spread your wings and fly Tell them Raise your voice and say it loudly Show them What it means to stand up proudly Tell them This is me and thanks to you I'm proud Go on now, tell them Raise your voice and say it loudly Show them What it means to stand up proudly Tell them This is me and thanks to you I'm proud, I'm proud, I'm proud Girl, they will try to tell you what to do Have no fear, the power lies in you Shine your light, go and break the rules Go on now, tell them Raise your voice and say it loudly Show them What it means to stand up proudly Tell them This is me and thanks to you I'm proud, I'm proud, I'm proud Go on now, tell them Raise your voice and say it loudly Show them What it means to stand up proudly Tell them This is me and thanks to you I'm proud Girl ",0.122881355932203
"9",9,"9","Sweden","John Lundvik","""Too Late for Love""","English","6","332",2019," Hey, how you've been?  I wonder, do you ever think of me?  Say, am I wrong To wonder if it could be you and me?  Is it too late for love?  Mhm Is it too late for love?  I wanna know Is it too late for love?  I can't take no more Is it?  I could be the sun that lights your dark And maybe I would lit your world with just one spark I could make it burn for you and me If I could be there I would be there Hear me!  I could be the sun that lights your dark Oh, is it too late for love?  Mhm Is it too late for love?  Hear me!  I could make it burn for you and me Days came and went But nothing ever really felt the same But you left a space Where everything reminds me of your face Is it too late for love?  Mhm Is it too late for love?  I wanna know I could be the sun that lights your dark And maybe I would lit your world with just one spark I could make it burn for you and me If I could be there I would be there Hear me!  I could be the sun that lights your dark Oh, is it too late for love?  Oh no Is it too late for love?  Hear me!  I could make it burn for you and me Oh, is it too late for love?  No noo Is it too late for love?  We could be a storm that rages on And maybe we would own the ocean carry on Noo. . .  I could be the sun that lights your dark And maybe I would lit your world with just one spark I could make it burn for you and me If I could be there I would be there Hear me!  I could be the sun that lights your dark Oh, is it too late for love?  Is it too late for love?  Is it too late for love?  It isn't is too late for love?   Is it?  ",0.118863049095607
"11",11,"11","Cyprus","Tamta","""Replay""","English","15","101",2019,"  You've got a problem, 2 AM I'm in your head Let's just be honest tonight Only I can solve it You're twisting, turning in your bed Them sheets need my body tonight That's when you call me, that's when you call me Say you're feeling lonely Early in the morning, early in the morning Time is moving slowly We keep it undercover I know you miss the taste Heart beats like an 808 You need my love on replay Replay, replay, replay, yeah You need my love on replay Replay, replay, replay, yeah You're stuck on me darlin' Like a love song on repeat Yeah, you've got a problem, alright And I know I'm the one to blame Because I make you scream my name And baby, I'm all in tonight  That's when you call me, that's when you call me Say you're feeling lonely Early in the morning, early in the morning Time is moving slowly We keep it undercover I know you miss the taste Heart beats like an 808 You need my love on replay Replay, replay, replay, yeah You need my love on replay Replay, replay, replay, yeah ",0.0607476635514019
"12",12,"12","Netherlands","Duncan Laurence","""Arcade""","English","1","492",2019," A broken heart is all that's left I'm still fixing all the cracks Lost a couple of pieces when I carried it, carried it, carried it home I'm afraid of all I am My mind feels like a foreign land Silence ringing inside my head Please, carry me, carry me, carry me home I spent all of the love I've saved We were always a losing game Small-town boy in a big arcade I got addicted to a losing game Ooh, ooh. . .  All I know, all I know Loving you is a losing game How many pennies in the slot?  Giving us nothing and take a lot I saw the end before it begun Still I carried, I carried, I carried on  Ooh, ooh. . .  All I know, all I know Loving you is a losing game Ooh, ooh. . .  All I know, all I know Loving you is a losing game I don't need your games, game over Get me off this rollercoaster Ooh, ooh. . .  All I know, all I know Loving you is a losing game Ooh, ooh. . .  All I know, all I know Loving you is a losing game ",-0.0357142857142857
"13",13,"13","Greece","Katerine Duska","""Better Love""","English","21","71",2019,"  Live for the mess Make me feel ageless  No pain, no gain  Teach me carelessness  And I'm about to see all that's made up And everything they want from us No pain, no gain Once bitten, make way And I can't hide it I won't fight this Yearning feeling inside Gotta get Better love, better love All that we're after Way to love, who you love Better love, better love All that we're after Way to love, who you love There's nothing more to say to back it up when I am unafraid, I've lost enough Go on, hold on for dear life 'Cause I won't hide it I can't fight this Burning feeling inside Gotta get Better love, better love All that we're after Way to love, who you love Better love, better love All that we're after Way to love, who you love Won't you lean on me You can lean on me Let them look, don't know, don't care Go deep with me Go deep with me Go deep with me Better love, better love All that we're after Way to love, who you love Better love, better love All that we're after Way to love, who you love What you waiting for?   ( x15 )  ",0.41304347826087
"14",14,"14","Israel","Kobi Marimi","""Home""","English","23","47",2019," Oh-oh-oh-oh-oh-oh-oh-oh-ooh Caught up in this moment 'til my heartbeat stops I've been running barefoot to the mountain tops Nothing comes as easy as it goes I can hug the water when it snows I feel the sun upon my skin And I am someone, I am someone You pulled my heart, I took it in It made me someone, I am someone And now I'm done, I'm coming home I used to listen to the way they talk Counting down the minutes from the ticking clock I feel the sun upon my skin And I am someone, I am someone You pulled my heart, I took it in It made me someone, I am someone And now I'm done, I'm coming Home was so far, collecting scars, I refuse Another touch won't be another bruise I feel the sun upon my skin And I am someone, I am someone You pulled my heart, I took it in It made me someone, I am someone I am standing tall not giving in 'Cause I am someone, I am someone And now I'm done, I'm coming Now I'm done, I'm coming Now I'm done, I'm coming home ",0.00934579439252336
"16",16,"16","United Kingdom","Michael Rice","""Bigger than Us""","English","26","16",2019," Hear these words that I sing to you I will make it clear, it's me and you We can have this love that we'll never lose It's bigger than us Take my hand and I'll lead you home Can you understand?  You will never be alone It's bigger than us It's bigger than you and me It's bigger than us It's bigger than everything we see 'Cause I can feel the universe When I'm feeling you breathe It's bigger than us And it's bigger than you and me It's bigger I won't give up and I won't let go 'Cause this kind of love is gonna be our only hope  ( It's bigger than us )  It's bigger than you and me It's bigger than us It's bigger than everything we see 'Cause I can feel the universe When I'm feeling you breathe It's bigger than us And it's bigger than you and me It's bigger  ( Bigger ) , bigger,  ( bigger ) , bigger  ( It's bigger than )   ( Bigger ) , bigger,  ( bigger ) , bigger  ( It's bigger than )  It's bigger than us It's bigger than you and me This kind of love Is bigger than everything we see, yeah  Oh, oh oh So much bigger, yeah  It's bigger than us  ( It's bigger than you and me )   ( It's bigger than us )  It's bigger than everything we see 'Cause I can feel the universe When I'm feeling you breathe It's bigger than us And it's bigger than you and me It's bigger   ( Bigger ) , bigger,  ( bigger ) , bigger It's bigger than  ( Bigger ) , bigger,  ( bigger ) , bigger  ( It's bigger than )  It's bigger ",0.0622950819672131
"18",18,"18","Estonia","Victor Crone","""Storm""","English","19","86",2019," All my life I've wondered why I keep fighting all the tides For a million reasons that I find But I might, I might be all wrong I've hit highs and I've hit lows But somewhere down the winding road It felt like I could lose it all But I might, I might have been wrong A storm like this Can break a man like this But when it all calms down We're still safe and sound All my life I've tried to find The meaning of what's left behind They say it's life itself but I feel It might, it might be all wrong A storm like this Can break a man like this And when it all calms down We're still safe and sound A storm like this Can break a man like this And when it all calms down We'll be safe and sound Even if the sky falls down We can turn it all around We'll escape the darkest clouds Then we'll be safe and sound Wherever we may go Whatever happens down the road However far from home I know we won't let go A storm like this Can break a man like this And when it all calms down We'll be safe and sound Even if the sky falls down We can turn it all around We'll escape the darkest clouds Then we'll be safe and sound A storm like this Can break a man like this And when it all calms down We'll be safe and sound In no time the storm will end It'll be alright again The battle scars won't matter then But I might, I might be all wrong ",0.088339222614841
"19",19,"19","Belarus","ZENA","""Like It""","English","25","31",2019," I guess I forgotten to turn my phone Off I'm outside my comfort zone I'm tired of being lonely, tam-tara-ram Nobody gonna like this, no Okay, I don't like these empty words I'll go even if it really hurts It's making me stronger, tam-tara-ram I know it's gonna be Uuh, what should I do?  It's up to you, karma Uuh, I wish I knew Give me a sign, karma Just to remind you I don't give up  ( Give up )  I won't give up, no I'll always try Yes, you're gonna like it Yes, you're gonna like it  ( Let me in your heart )  Yes, you're gonna like it Yes, you're gonna like it, Let's break the rules Yes, you're gonna like it Yes, you're gonna like it  ( I'll share what I've got )  Yes, you're gonna like it Yes, you're gonna like it, baby, repeat my moves It feels crazy and a little wild I know what is wrong and what is right It's making me wiser, tam-tara-ram The universe is ours now Okay, put your favourite sneakers on And show your emotions on the floor Add hashtag to find ya, tam-tara-ram I know it's gonna be Uuh, what should I do?  It's up to you, karma Uuh, I wish I knew Give me a sign, karma Just to remind you I don't give up I won't give up, no I'll always try Yes, you're gonna like it Yes, you're gonna like it  ( Let me in your heart )  Yes, you're gonna like it Yes, you're gonna like it, Let's break the rules Yes, you're gonna like it Yes, you're gonna like it  ( I'll share what I've got )  Yes, you're gonna like it Yes, you're gonna like it, baby, repeat my moves Heya, give me fly, give me fly, give me fly Heya, like it too, like it too, like it too, baby I feel the flow of energy I should let go mistakes of me I feel the flow of energy You go with me, baby  Yes, you're gonna like it Yes, you're gonna like it Let me in your heart Yes, you're gonna like it Yes, you're gonna like it Let's break the rules Yes, you're gonna like it Yes, you're gonna like it, I'll share what I've got I'll share what I've got Yes, you're gonna like it Yes, you're gonna like it baby, repeat my moves ",0.167381974248927
